P1 P2 P3 P4 P5 P6 P7 P8
ENSG00000163909_LINE249_HEYL_I -1.72111718699605 -0.90905888533954 -1.2069869176074 -1.31279208921171 -5.27791524485603 -1.86589180754744 3.63023384186412 4.62448748535089
ENSG00000164107_LINE250_HAND2_I -4.22127832200067 0.202156737548484 2.46509941394843 4.99745595190945 2.5361272082169 -0.377180570945459 -2.94890549367007 -3.56079285645218
ENSG00000164330_LINE251_EBF1_D_N2 -4.19849964029113 2.2131978119696 4.61887159032844 4.87657861334036 1.03949114590678 0.240019456926769 -3.43195858261652 -4.33589253093129
ENSG00000164683_LINE258_HEY1_D -2.51478451950412 -0.945583846198704 -1.03625032912258 -1.02541907679773 -5.46944834484821 -2.47449670226069 3.53404761315095 3.78115924963011
ENSG00000166823_LINE260_MESP1_D -13.0245536223149 -10.0209355521088 -5.08609277669747 -2.49517053042013 6.45377073093257 13.7362524698734 5.5042350149301 0.710868974806618
ENSG00000168267_LINE261_PTF1A_D -1.02537907945774 0.999696706295323 1.98275953926735 2.45045130605824 2.45215996112758 0.781271678108317 -2.1770869898902 -3.84936752358976
ENSG00000168874_LINE262_ATOH8_I -9.86786900136863 -6.85572811230812 -3.25267036047201 -2.05825818445669 2.73273885952237 6.51901052325687 5.26531208557087 2.87655214542414
ENSG00000170485_LINE263_NPAS2_I -0.687247104375659 1.3065961563437 1.64368473486335 1.16489496254028 -5.66694728556528 -3.03035853553589 1.2885652423144 2.06947002239812
ENSG00000171532_LINE264_NEUROD2_D -3.50933789859244 -2.23531627877897 -0.74818199314865 2.49466924793891 2.76020578677507 0.66609216549849 -0.67943797547261 -1.25779867660698
ENSG00000171786_LINE269_NHLH1_D_N3 -0.272450601092711 -1.65072672572466 0.474049489718365 0.763396844984297 2.41484481664582 1.81881253570207 0.0813006317158328 -3.24144832299933
ENSG00000172201_LINE271_ID4_D -12.7680394631736 -7.59305552094697 -2.22335170328145 -0.181030245068777 2.97518343624061 9.63928467129452 4.36640303597337 1.15331270221441
ENSG00000172379_LINE273_ARNT2_D -2.0152372084081 0.113361535318815 1.17813175481576 0.0206631567884262 0.331639537543362 -0.559983778453547 0.562821558840366 -0.634871914127128
ENSG00000174576_LINE275_NPAS4_I 0.960217022213135 0.213857578443645 -0.000663485769801703 -0.971986400317056 -1.91922562608452 -1.19466546810242 1.01156905216133 1.73784778994953
ENSG00000175727_LINE276_MLXIP_I 0.117151370736218 1.57093593807998 1.56161576073699 0.978100117753762 -4.45949703678242 -3.14728168409064 0.990453115107787 2.01849933288787
ENSG00000177468_LINE279_OLIG3_D -2.93920911067744 -1.06882777749378 0.125545680636527 2.89302446336391 1.64540172964433 -0.221805058145979 -0.639812479825085 -1.72458195679352
